transaction_id,customer_id,amount,status,transaction_timestamp
TXN-1001,CUST-001,149.50,COMPLETED,2026-09-14 08:15:30 UTC
TXN-1002,CUST-002,29.99,COMPLETED,2026-09-14 09:22:10 UTC
TXN-1003,CUST-001,450.00,PENDING,2026-09-14 11:05:45 UTC
TXN-1004,CUST-003,12.00,FAILED,2026-09-14 14:40:12 UTC
TXN-1005,CUST-004,99.90,COMPLETED,2026-09-14 18:50:00 UTC
TXN-1006,CUST-002,85.20,COMPLETED,2026-09-15 07:10:15 UTC
TXN-1007,CUST-005,1250.00,COMPLETED,2026-09-15 10:30:00 UTC
TXN-1008,CUST-003,64.75,FAILED,2026-09-15 12:15:20 UTC
TXN-1009,CUST-001,310.50,COMPLETED,2026-09-15 15:45:00 UTC
TXN-1010,CUST-004,22.00,PENDING,2026-09-15 19:20:10 UTC
TXN-1011,CUST-002,18.50,COMPLETED,2026-09-16 06:45:12 UTC
TXN-1012,CUST-006,540.00,COMPLETED,2026-09-16 08:30:25 UTC
TXN-1013,CUST-005,89.00,FAILED,2026-09-16 10:12:00 UTC
TXN-1014,CUST-001,75.25,COMPLETED,2026-09-16 11:55:40 UTC
TXN-1015,CUST-003,320.00,COMPLETED,2026-09-16 13:20:15 UTC
TXN-1016,CUST-007,45.00,PENDING,2026-09-16 15:05:00 UTC
TXN-1017,CUST-002,110.00,COMPLETED,2026-09-16 16:40:22 UTC
TXN-1018,CUST-004,950.00,COMPLETED,2026-09-16 17:15:30 UTC
TXN-1019,CUST-006,35.50,FAILED,2026-09-16 18:50:45 UTC
TXN-1020,CUST-001,210.00,COMPLETED,2026-09-16 20:10:00 UTC
